"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Dude, Stop","0","0","7","0","0.87","0.87","0.12","0.54","-350.0","0.00","3.02","45","0.42","2018-06-01","574560"
"Gunsmith","0","0","7","0","0.68","0.68","0.10","0.19","-90.0","0.75","0.75","39","0.35","2018-06-01","620190"
"Neverwinter Nights: Enhanced Edition","0","0","7","0","0.83","0.83","0.12","0.28","-133.3","0.85","0.46","75","0.42","2018-05-30","704450"
"Detective Gallo","0","0","5","0","0.84","0.84","0.17","N/A","0.0","5.70","4.14","9","0.44","2018-05-30","556060"
"Stormbound","0","0","9","0","1.75","1.75","0.19","N/A","0.0","0.00","0.00","17","0.83","2018-05-30","790600"
"Just Shapes & Beats","0","0","5","0","1.29","1.29","0.26","0.33","-26.9","2.13","0.51","54","0.68","2018-05-30","531510"
"Yoku's Island Express","0","0","6","0","0.58","0.58","0.10","0.22","-120.0","0.52","0.22","38","0.26","2018-05-30","334940"
"Fox Hime Zero","0","0","7","0","1.29","1.29","0.18","0.17","5.6","0.19","1.90","88","0.63","2018-05-30","844930"
"INFERNIUM","0","0","6","0","4.19","4.19","0.70","N/A","0.0","1.50","0.00","7","1.83","2018-05-29","789950"
"Shift Quantum","0","0","5","0","0.67","0.67","0.13","0.33","-153.8","0.00","0.16","8","0.34","2018-05-29","700520"
"Unworthy","0","0","5","0","0.71","0.71","0.14","0.32","-128.6","0.93","1.25","29","0.37","2018-05-29","613190"
"Let`s not stay friends","0","0","5","0","1.39","1.39","0.28","0.35","-25.0","0.71","1.78","19","0.73","2018-05-29","739980"
"Fantasy Versus","0","0","6","0","1.08","1.08","0.18","0.44","-144.4","1.75","3.12","34","0.47","2018-05-29","787400"
"SURV1V3","0","0","12","0","1.39","1.39","0.12","3.33","-2,675.0","3.22","2.77","25","0.63","2018-05-27","722180"
"Phantom Doctrine","0","0","9","0","1.03","1.03","0.11","0.29","-163.6","0.00","0.00","35","0.48","2018-05-25","559100"
"Bloodstained: Curse of the Moon","0","0","6","0","1.07","1.07","0.18","0.20","-11.1","0.16","0.93","124","0.47","2018-05-25","838310"
"STAY","0","0","5","0","0.74","0.74","0.15","0.43","-186.7","1.38","0.85","22","0.39","2018-05-25","753230"
"Inked","0","0","7","0","8.63","8.63","1.23","0.25","79.7","0.31","1.18","8","4.28","2018-05-25","690120"
"Elixir of Immortality II: The League of Immortality","0","0","5","0","1.33","1.33","0.27","N/A","0.0","0.00","0.00","2","0.47","2018-05-25","621090"
"Wolf Tails","0","0","5","0","1.33","1.33","0.27","0.30","-11.1","3.19","0.89","94","0.70","2018-05-25","822930"
"Rogue Empire","0","0","15","0","2.53","2.53","0.17","N/A","0.0","2.26","13.21","19","1.18","2018-05-23","650940"
"Albion Online","0","0","8","0","0.64","0.64","0.08","0.12","-50.0","0.14","0.61","108","0.28","2018-05-23","761890"
"ELMIA","0","0","15","0","2.18","2.18","0.15","0.14","6.7","3.17","8.17","21","1.04","2018-05-23","738020"
"Kabounce","0","0","6","0","0.94","0.94","0.16","0.57","-256.2","13.73","3.41","15","0.42","2018-05-23","431930"
"Mother Simulator","0","0","6","0","0.68","0.68","0.11","0.10","9.1","0.24","0.23","26","0.29","2018-05-22","802730"
"Disturbed: Beyond Aramor","0","0","5","0","0.61","0.61","0.12","N/A","0.0","1.15","0.74","8","0.31","2018-05-21","617620"
"Lost Cities","0","0","5","0","2.88","2.88","0.58","N/A","0.0","0.00","0.00","5","1.51","2018-05-21","520680"
"3030 Deathwar Redux - A Space Odyssey","0","0","15","0","0.67","0.67","0.04","0.04","0.0","1.08","3.69","84","0.28","2018-05-21","464360"
"VoiceActress","0","0","5","0","0.56","0.56","0.11","0.14","-27.3","0.23","1.50","46","0.29","2018-05-21","753360"
"Catmaze","0","0","5","0","0.89","0.89","0.18","0.48","-166.7","3.53","0.73","15","0.47","2018-05-18","620220"
"I Hate Running Backwards","0","0","9","0","1.50","1.50","0.17","N/A","0.0","0.17","0.00","12","0.74","2018-05-18","575820"
"Viktor, a Steampunk Adventure","0","0","5","0","0.81","0.81","0.16","0.29","-81.2","1.27","1.46","15","0.42","2018-05-18","550990"
"Safe House","0","0","5","0","0.83","0.83","0.17","N/A","0.0","0.00","1.67","7","0.44","2018-05-18","636230"
"House Flipper","0","0","10","0","0.67","0.67","0.07","0.06","14.3","0.07","0.15","463","0.30","2018-05-17","613100"
"Infectonator 3: Apocalypse","0","0","6","0","0.68","0.68","0.11","0.43","-290.9","2.77","4.65","43","0.29","2018-05-17","666570"
"Eden Rising - Supremacy","0","0","7","0","0.83","0.83","0.12","0.22","-83.3","0.10","0.10","20","0.42","2018-05-17","345330"
"Fast Beat Loop Racer GT","0","0","10","0","1.00","1.00","0.10","0.33","-230.0","0.76","0.64","28","0.43","2018-05-17","633110"
"Sphoxie","0","0","7","0","0.85","0.85","0.12","1.15","-858.3","2.97","3.93","12","0.42","2018-05-17","486430"
"Zup! X","0","0","6","0","1.92","1.92","0.32","0.12","62.5","0.09","1.22","49","0.83","2018-05-17","508900"
"Little Witch Academia: Chamber of Time","0","0","8","0","1.57","1.57","0.20","0.25","-25.0","1.03","2.97","112","0.70","2018-05-17","710470"
"Princess Maker 5","0","0","5","0","1.25","1.25","0.25","N/A","0.0","0.83","1.67","21","0.65","2018-05-16","724250"
"Third Front: WWII","0","0","6","0","0.41","0.41","0.07","0.26","-271.4","0.44","0.64","59","0.18","2018-05-16","804730"
"Phantom Signal","0","0","7","0","0.71","0.71","0.10","0.55","-450.0","0.17","2.79","30","0.35","2018-05-16","764510"
"1943 Deadly Desert","0","0","9","0","1.81","1.81","0.20","N/A","0.0","6.09","11.37","5","0.87","2018-05-15","616750"
"STEINS;GATE 0","0","0","7","0","1.18","1.18","0.17","0.18","-5.9","0.78","0.74","194","0.59","2018-05-15","825630"
"Rogues Like Us","0","0","6","0","1.26","1.26","0.21","N/A","0.0","0.00","0.00","16","0.55","2018-05-15","492410"
"Omensight","0","0","9","0","1.03","1.03","0.11","0.24","-118.2","3.32","1.53","54","0.48","2018-05-15","455820"
"Raging Justice","0","0","6","0","1.11","1.11","0.18","0.50","-177.8","54.68","11.62","10","0.47","2018-05-15","384200"
"Tyr: Chains of Valhalla","0","0","8","0","1.07","1.07","0.13","N/A","0.0","1.15","1.15","7","0.45","2018-05-15","609720"
"MONMUSU","0","0","9","0","1.31","1.31","0.15","0.12","20.0","0.75","1.46","70","0.65","2018-05-15","533540"
"Lazy Galaxy","0","0","6","0","1.08","1.08","0.18","N/A","0.0","0.58","3.21","22","0.47","2018-05-15","724470"
